Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,3,0,0.45272319662402744,0,0,0.015281580671177828,True,False
1,3,1,0.6175656072794409,1,0,0.013663090060062943,False,True
0,2,0,0.815376500065937,0,0,0.018908740708122825,True,False
0,3,0,0.3538177502307794,0,0,0.016908073949327893,False,True
1,3,1,0.287880785968614,1,1,0.023983602730431916,False,True
0,3,0,0.18238164314914942,0,0,0.01800600082915438,False,True
1,3,1,0.3933799287880786,0,0,0.014891206669461744,True,False
0,2,0,0.34063035737834635,1,1,0.056604230248832196,False,True
1,3,1,0.23513121455888172,0,0,0.014110458666029575,False,False
0,3,0,0.27469339311618096,2,0,0.04713766070721715,False,True
0,3,0,0.3538177502307794,0,0,0.015411575213749286,False,True
0,1,0,0.6043782144270078,0,0,0.050748620223090936,False,True
1,1,1,0.3010681788210471,1,0,0.16057390443488287,False,True
0,2,0,0.8285638929183701,1,0,0.050748620223090936,False,True
1,1,1,0.6175656072794409,1,0,0.11940564777490723,False,True
1,2,1,0.31425557167348017,1,0,0.05410739813385612,False,False
0,2,0,0.459316893050244,0,0,0.024105594605968193,True,False
0,3,0,0.27469339311618096,0,0,0.014102260811993537,False,False
1,3,1,0.3538177502307794,1,0,0.015468569817999833,False,True
1,3,1,0.5911908215745747,0,0,0.014102260811993537,False,False
0,1,0,0.7230647500989055,1,0,0.11594107850967697,False,False
0,3,0,0.11644467888698405,0,1,0.0061889894232067975,False,True
1,1,1,0.3538177502307794,0,0,0.06184168304285603,False,True
0,1,0,0.27469339311618096,0,1,0.11980421963065935,False,False
1,1,1,0.630753000131874,1,3,0.5121218935012878,False,False
0,3,0,0.6571277858367401,1,0,0.028302115124416098,False,True
1,1,1,0.287880785968614,0,1,0.1209753416358076,False,False
0,3,0,0.29447448239483054,0,0,0.014102260811993537,False,False
0,1,0,0.5384412501648425,0,0,0.05953203526170282,False,True
0,3,0,0.3538177502307794,2,0,0.04231498029001666,False,False
0,2,0,0.6571277858367401,1,0,0.050748620223090936,False,True
0,2,0,0.31425557167348017,2,0,0.061483905270283246,False,True
1,3,1,0.43294210734537786,1,2,0.04015972542654215,False,True
1,3,1,0.3538177502307794,1,2,0.04577135170121086,False,True
0,1,0,0.3933799287880786,1,0,0.11272049299551928,False,False
0,3,0,0.24172491098509827,0,0,0.014110458666029575,False,False
1,3,1,0.3538177502307794,0,0,0.015712553569072387,False,True
1,3,1,0.27469339311618096,0,0,0.016908073949327893,False,True
0,3,0,0.32744296452591326,0,0,0.018542765081513996,False,True
0,3,0,0.3538177502307794,0,0,0.11027245763075773,False,True
